"Ticket";"Symbol";"Type";"Open price";"Close price";"Open time";"Close time";"Size";"Profit/Loss";"Stop Loss price level";"Profit Target price level";"Balance";"Slippage ($)";"Sample type";"Close type";"Time in trade";"Comm/Swap"
"1";"USTEC_ICM_UTC2";"Buy";"4225.4";"4232.6";"2015.01.02 19:15:00";"2015.01.02 22:55:00";"30.0";"216.00";"4142.89990";"4307.89990";"50216.00";"0.00";"IST";"End Of Friday (Time)";"3h 40m";"-0.00"
"2";"USTEC_ICM_UTC2";"Buy";"4165.9";"4248.4";"2015.01.05 21:00:00";"2015.01.08 20:11:00";"30.0";"1925.64";"4083.39990";"4248.39990";"52141.64";"0.00";"IST";"PT";"2d 23h 11m";"-549.36"
"3";"USTEC_ICM_UTC2";"Buy";"4245.0";"4216.9";"2015.01.08 22:00:00";"2015.01.09 22:55:00";"30.0";"-1026.12";"4162.50000";"4327.50000";"51115.52";"0.00";"IST";"End Of Friday (Time)";"1d 0h 55m";"-183.12"
"4";"USTEC_ICM_UTC2";"Buy";"4221.9";"4139.4";"2015.01.12 16:30:00";"2015.01.13 21:13:00";"30.0";"-2658.12";"4139.39990";"4304.39990";"48457.40";"0.00";"IST";"SL";"1d 4h 43m";"-183.12"
"5";"USTEC_ICM_UTC2";"Buy";"4165.9";"4083.4";"2015.01.13 21:45:00";"2015.01.16 00:04:00";"30.0";"-3024.36";"4083.39990";"4248.39990";"45433.04";"0.00";"IST";"SL";"2d 2h 19m";"-549.36"
"6";"USTEC_ICM_UTC2";"Buy";"4100.0";"4141.0";"2015.01.16 17:45:00";"2015.01.16 22:55:00";"30.0";"1230.00";"4017.50000";"4182.50000";"46663.04";"0.00";"IST";"End Of Friday (Time)";"5h 10m";"-0.00"
"7";"USTEC_ICM_UTC2";"Buy";"4192.8";"4275.3";"2015.01.21 22:00:00";"2015.01.23 10:26:00";"30.0";"2108.76";"4110.29980";"4275.29980";"48771.80";"0.00";"IST";"PT";"1d 12h 26m";"-366.24"
"8";"USTEC_ICM_UTC2";"Buy";"4273.5";"4191.0";"2015.01.26 18:00:00";"2015.01.27 16:33:00";"30.0";"-2658.12";"4191.00000";"4356.00000";"46113.68";"0.00";"IST";"SL";"22h 33m";"-183.12"
"9";"USTEC_ICM_UTC2";"Buy";"4232.1";"4149.6";"2015.01.28 16:30:00";"2015.01.28 22:35:00";"30.0";"-2475.00";"4149.60010";"4314.60010";"43638.68";"0.00";"IST";"SL";"6h 5m";"-0.00"
"10";"USTEC_ICM_UTC2";"Buy";"4122.2";"4204.7";"2015.01.29 18:15:00";"2015.01.30 00:12:00";"30.0";"2291.88";"4039.69995";"4204.70020";"45930.56";"0.00";"IST";"PT";"5h 57m";"-183.12"
